Note,FileSize,FileCount,Network,Source,Destination,Bandwidth,RTT,BufferSize,Parallelism,Concurrency,Pipelining,Fast,Throughput,TestBed,Protocol,Version,Dedicated,Duration,CPU,MEM,DiskBW,Power
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,1,OFF,78.84575081,REAL,GridFTP,gt-5.0.3,no,25.97476692,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,2,OFF,80.12506709,REAL,GridFTP,gt-5.0.3,no,25.560041,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,3,OFF,69.02587491,REAL,GridFTP,gt-5.0.3,no,29.6700332,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,4,OFF,63.39182475,REAL,GridFTP,gt-5.0.3,no,32.30700501,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,5,OFF,90.73595837,REAL,GridFTP,gt-5.0.3,no,22.57098549,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,6,OFF,72.17015552,REAL,GridFTP,gt-5.0.3,no,28.377381,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,7,OFF,54.77215585,REAL,GridFTP,gt-5.0.3,no,37.39126146,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,8,OFF,73.22936911,REAL,GridFTP,gt-5.0.3,no,27.96692126,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,9,OFF,61.36901232,REAL,GridFTP,gt-5.0.3,no,33.37189116,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,10.88781696,REAL,GridFTP,gt-5.0.3,no,188.1001497,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,2,0,OFF,38.41127851,REAL,GridFTP,gt-5.0.3,no,53.31767334,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,3,0,OFF,45.59872044,REAL,GridFTP,gt-5.0.3,no,44.913541,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,4,0,OFF,70.47226454,REAL,GridFTP,gt-5.0.3,no,29.06107833,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,5,0,OFF,65.28081364,REAL,GridFTP,gt-5.0.3,no,31.372158,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,6,0,OFF,83.03220528,REAL,GridFTP,gt-5.0.3,no,24.66512835,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,7,0,OFF,93.95402198,REAL,GridFTP,gt-5.0.3,no,21.797896,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,8,0,OFF,41.08386096,REAL,GridFTP,gt-5.0.3,no,49.84925837,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,9,0,OFF,56.29316131,REAL,GridFTP,gt-5.0.3,no,36.38097333,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,10,0,OFF,59.42595292,REAL,GridFTP,gt-5.0.3,no,34.46305695,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,ON,16.73563858,REAL,GridFTP,gt-5.0.3,no,122.3735796,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,2,0,ON,61.58711432,REAL,GridFTP,gt-5.0.3,no,33.25370936,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,3,0,ON,103.0888863,REAL,GridFTP,gt-5.0.3,no,19.86635101,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,4,0,ON,110.932537,REAL,GridFTP,gt-5.0.3,no,18.46167099,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,5,0,ON,100.1904254,REAL,GridFTP,gt-5.0.3,no,20.441075,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,6,0,ON,153.179334,REAL,GridFTP,gt-5.0.3,no,13.36994976,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,7,0,ON,141.3665618,REAL,GridFTP,gt-5.0.3,no,14.48716,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,8,0,ON,61.31287159,REAL,GridFTP,gt-5.0.3,no,33.40244792,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,9,0,ON,93.66684479,REAL,GridFTP,gt-5.0.3,no,21.8647271,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,10,0,ON,103.7064841,REAL,GridFTP,gt-5.0.3,no,19.74804196,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,1,1,0,OFF,19.38222305,REAL,GridFTP,gt-5.0.3,no,105.6638341,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,2,1,0,OFF,36.4074726,REAL,GridFTP,gt-5.0.3,no,56.25218818,,,,
Chris-data,2097152,128,XSEDE,gridftp.lonestar.tacc.teragrid.org,gridftp.steele.purdue.teragrid.org,10000,0.063,32777216,3,1,0,OFF,38.94702904,REAL,GridFTP,gt-5.0.3,no,52.58424199,,,,
